GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
upprpo,ru.nsu.store.exception,EmailException,0,6,0,0,0,3,0,1,0,1
upprpo,ru.nsu.store.exception,PasswordException,0,6,0,0,0,3,0,1,0,1
upprpo,ru.nsu.store.exception,ApiRequestException,0,7,0,0,0,3,0,1,0,1
upprpo,ru.nsu.store.exception,ApiExceptionHandler,0,37,0,0,0,6,0,5,0,5
upprpo,ru.nsu.store.exception,InputFieldException,4,20,0,0,1,5,1,1,1,1
upprpo,ru.nsu.store.entity,Role,0,34,0,0,0,2,0,1,0,1
upprpo,ru.nsu.store.entity,Review,0,6,0,0,0,3,0,1,0,1
upprpo,ru.nsu.store.entity,Order,0,11,0,0,0,4,0,1,0,1
upprpo,ru.nsu.store.entity,AuthProvider,0,14,0,0,0,2,0,1,0,1
upprpo,ru.nsu.store.service.graphql,GraphQLProvider,70,0,0,0,16,0,3,0,3,0
upprpo,ru.nsu.store.service.email,MailSender,3,44,0,0,0,12,0,1,0,1
upprpo,ru.nsu.store.security,JwtFilter,42,0,6,0,12,0,4,0,1,0
upprpo,ru.nsu.store.security,JwtAuthenticationException,0,11,0,0,0,5,0,2,0,2
upprpo,ru.nsu.store.security,UserPrincipal,0,55,0,0,0,15,0,11,0,11
upprpo,ru.nsu.store.security,UserDetailsServiceImpl,0,24,0,2,0,5,0,3,0,2
upprpo,ru.nsu.store.security,JwtProvider,9,93,1,1,2,18,2,5,1,5
upprpo,ru.nsu.store.security,JwtConfigurer,0,7,0,0,0,2,0,1,0,1
upprpo,ru.nsu.store.service,OrderServiceImpl,26,165,0,2,2,36,4,7,4,6
upprpo,ru.nsu.store.service,PerfumeServiceImpl,145,327,16,32,26,73,21,26,10,13
upprpo,ru.nsu.store.service,UserServiceImpl,37,124,1,1,2,30,6,9,5,9
upprpo,ru.nsu.store.service,AuthenticationServiceImpl,36,293,3,11,1,62,8,10,5,6
upprpo,ru.nsu.store.controller,AdminController,0,80,0,0,0,13,0,12,0,12
upprpo,ru.nsu.store.controller,PerfumeController,0,74,0,0,0,16,0,9,0,9
upprpo,ru.nsu.store.controller,RegistrationController,0,15,0,0,0,2,0,2,0,2
upprpo,ru.nsu.store.controller,UserController,0,70,0,0,0,10,0,8,0,8
upprpo,ru.nsu.store.controller,AuthenticationController,0,43,0,2,0,7,0,6,0,5
upprpo,ru.nsu.store,Application,8,0,0,0,3,0,2,0,2,0
upprpo,ru.nsu.store.mapper,PerfumeMapper,0,97,0,2,0,12,0,9,0,8
upprpo,ru.nsu.store.mapper,AuthenticationMapper,0,84,0,2,0,14,0,7,0,6
upprpo,ru.nsu.store.mapper,UserMapper,10,84,2,2,2,12,2,7,0,7
upprpo,ru.nsu.store.mapper,CommonMapper,27,0,0,0,5,0,4,0,4,0
upprpo,ru.nsu.store.mapper,OrderMapper,0,53,0,2,0,7,0,5,0,4
upprpo,ru.nsu.store.configuration,WebSecurityConfiguration,95,0,0,0,14,0,2,0,2,0
upprpo,ru.nsu.store.configuration,ApplicationConfiguration,0,44,0,0,0,11,0,4,0,4
upprpo,ru.nsu.store.configuration,EmailConfiguration,0,80,0,0,0,21,0,4,0,4
upprpo,ru.nsu.store.configuration,WebSocketConfiguration,40,0,0,0,6,0,3,0,3,0
upprpo,ru.nsu.store.configuration,MvcConfiguration,76,0,0,0,10,0,4,0,4,0
upprpo,ru.nsu.store.aspect,ControllerAspect,49,0,2,0,11,0,4,0,3,0
upprpo,ru.nsu.store.dto,CaptchaResponse,0,17,0,0,0,7,0,5,0,5
